ID,Code,Subject,School,classroom,course,schedule,Professor ,Professor Email,gender,RequiredSubject,TypeOfSubject,students,required,in-class subject
14,S2-5-14,Modern Literature,University of Kansas,C_17,2,4:00 PM,Maya Tanner,Maya_Tanner5773@gompie.com,Female,S4-1-359,Interdisciplinary,50,FALSE,TRUE
15,S2-10-15,Handwriting,The Katz School at Yeshiva University,C_8,2,8:00 AM,Harry Cavanagh,Harry_Cavanagh2034@famism.biz,Male,S4-4-912,Core,27,FALSE,TRUE
16,S3-9-16,American Literature,The New School,C_6,3,2:00 PM,Jennifer Wilde,Jennifer_Wilde6634@muall.tech,Female,S4-2-741,Core,49,TRUE,FALSE
17,S2-1-17,Ecology,Wake Forest University,C_8,2,8:00 AM,Domenic Ballard,Domenic_Ballard8139@sveldo.biz,Male,S1-8-23,Interdisciplinary,58,TRUE,FALSE
18,S2-3-18,Earth Science,University of Illinois,C_6,2,3:00 PM,Martha Corbett,Martha_Corbett7021@twipet.com,Female,S4-8-808,Optional,52,TRUE,TRUE
19,S4-8-19,Economics,Georgetown University,C_8,4,4:00 PM,Jack Cooper,Jack_Cooper5138@bauros.biz,Male,S2-6-176,Core,32,TRUE,TRUE
20,S2-9-20,Speech,University of Colorado,C_8,2,4:00 PM,Daniel Downing,Daniel_Downing8388@infotech44.tech,Male,S1-4-83,Interdisciplinary,14,TRUE,TRUE
21,S1-7-21,Latin,University of California,C_19,1,5:00 PM,Lindsay Gibson,Lindsay_Gibson8991@gompie.com,Female,S2-6-114,Core,17,FALSE,TRUE
22,S1-7-22,Instrumental Music,New York University,C_9,1,8:00 PM,Jane Tate,Jane_Tate7444@ovock.tech,Female,S3-8-635,Core,23,TRUE,TRUE
23,S1-8-23,Health,The University of Arizona,C_2,1,3:00 PM,Tyler Preston,Tyler_Preston3440@mafthy.com,Male,S3-5-862,Core,48,FALSE,FALSE
24,S4-10-24,Accounting,University of Washington,C_12,4,2:00 PM,Roger Brennan,Roger_Brennan3285@vetan.org,Male,S1-3-748,Core,36,FALSE,TRUE
25,S3-8-25,Instrumental Music,Tufts University,C_15,3,2:00 PM,Aleksandra Partridge,Aleksandra_Partridge4515@gompie.com,Female,S1-5-462,Core,32,TRUE,FALSE
26,S2-5-26,Physical Education,Virginia Polytechnic Institute and State University,C_5,2,4:00 PM,Roger Brennan,Roger_Brennan3285@vetan.org,Male,S1-9-689,Core,41,FALSE,FALSE
27,S1-1-27,Geography,Wayne State University,C_19,1,8:00 AM,Leslie Rixon,Leslie_Rixon3377@sveldo.biz,Female,S2-9-308,Core,51,FALSE,TRUE
28,S3-1-28,French,Case Western Reserve University,C_4,3,7:00 PM,Teagan Addison,Teagan_Addison2050@gmail.com,Female,S3-6-945,Interdisciplinary,45,FALSE,FALSE
29,S1-7-29,German,Boston College,C_9,1,10:00 AM,Leroy Murphy,Leroy_Murphy779@zorer.org,Male,S4-2-37,Core,25,TRUE,TRUE
30,S3-4-30,Physical Education,The University of Arizona,C_9,3,3:00 PM,Fred Hooper,Fred_Hooper8260@irrepsy.com,Male,S4-9-777,Core,25,FALSE,TRUE
31,S2-3-31,English IV,Columbia University,C_6,2,2:00 PM,Mason Saunders,Mason_Saunders2881@bungar.biz,Male,S1-3-245,Core,40,TRUE,TRUE
32,S4-6-32,Modern Literature,George Washington University,C_8,4,11:00 AM,Henry Michael,Henry_Michael4194@vetan.org,Male,S2-5-622,Core,42,TRUE,TRUE
33,S2-1-33,Earth Science,Howard University,C_10,2,6:00 PM,Lindsay Sinclair,Lindsay_Sinclair1738@cispeto.com,Female,S4-10-425,Optional,14,FALSE,FALSE
34,S4-9-34,Geography,University of Iowa,C_9,4,6:00 PM,Harmony Eyres,Harmony_Eyres7421@twipet.com,Female,S4-3-392,Optional,24,TRUE,FALSE
35,S4-2-35,Music,Tufts University,C_18,4,12:00 AM,Johnathan Walker,Johnathan_Walker8572@sheye.org,Male,S3-9-246,Core,13,FALSE,FALSE
36,S3-7-36,Dramatics,Georgetown University,C_9,3,3:00 PM,Joseph Radcliffe,Joseph_Radcliffe7837@acrit.org,Male,S2-6-339,Core,23,TRUE,TRUE
37,S4-2-37,Health,Johns Hopkins University,C_9,4,8:00 PM,Chelsea Ellery,Chelsea_Ellery7893@elnee.tech,Female,S1-3-43,Core,21,TRUE,TRUE
38,S2-5-38,Health,Vanderbilt University,C_14,2,1:00 PM,Rose Anderson,Rose_Anderson8775@zorer.org,Female,S4-9-402,Core,49,FALSE,TRUE
39,S2-7-39,Art,University of Oklahoma,C_20,2,7:00 PM,Irene Goldsmith,Irene_Goldsmith4042@zorer.org,Female,S1-1-10,Core,48,TRUE,TRUE
40,S4-3-40,Speech,University of Notre Dame,C_5,4,12:00 AM,Manuel Myatt,Manuel_Myatt7563@corti.com,Male,S2-7-583,Optional,29,TRUE,FALSE
41,S1-8-41,Art,University of Hawai,C_8,1,12:00 AM,Benjamin Redden,Benjamin_Redden3357@nimogy.biz,Male,S3-7-269,Core,39,FALSE,FALSE
42,S2-8-42,Music,Duke University,C_14,2,12:00 AM,Angelica Wood,Angelica_Wood982@bulaffy.com,Female,S3-3-546,Core,26,FALSE,TRUE
43,S1-3-43,Speech,Rensselaer Polytechnic University,C_19,1,7:00 PM,Leroy Murphy,Leroy_Murphy779@zorer.org,Male,S3-10-901,Core,18,TRUE,TRUE
44,S3-7-44,Grammar,Clark University,C_8,3,5:00 PM,Ethan Murray,Ethan_Murray2879@corti.com,Male,S3-9-262,Core,22,FALSE,FALSE
45,S4-3-45,Art,Harvard University,C_14,4,4:00 PM,Phillip James,Phillip_James3910@vetan.org,Male,S2-8-876,Core,40,TRUE,FALSE
46,S2-4-46,Grammar,Vanderbilt University,C_17,2,5:00 PM,Lexi Collins,Lexi_Collins5457@twipet.com,Female,S2-5-14,Interdisciplinary,43,TRUE,TRUE
47,S1-9-47,Health,Wayne State University,C_8,1,11:00 AM,Matthew Wade,Matthew_Wade7130@bauros.biz,Male,S3-4-624,Interdisciplinary,41,FALSE,FALSE
48,S3-7-48,Economics,University of Pennsylvania,C_1,3,6:00 PM,Mya Jones,Mya_Jones1381@deons.tech,Female,S2-6-716,Core,15,FALSE,TRUE
49,S3-3-49,French,Washington State University,C_8,3,5:00 PM,Catherine Attwood,Catherine_Attwood5660@eirey.tech,Female,S3-2-413,Core,23,FALSE,TRUE
50,S1-1-50,Health,Michigan State University,C_15,1,4:00 PM,Gwen Mould,Gwen_Mould1695@tonsy.org,Female,S1-3-575,Optional,46,FALSE,FALSE
51,S2-10-51,Leadership,University of Colorado,C_17,2,9:00 AM,Danny Bryant,Danny_Bryant2588@joiniaa.com,Male,S3-9-262,Core,12,TRUE,FALSE
52,S4-9-52,Resource Program,University of Illinois,C_16,4,12:00 AM,Jules Collins,Jules_Collins3758@bulaffy.com,Female,S3-8-938,Core,20,FALSE,FALSE
53,S4-3-53,American Literature,Johns Hopkins University,C_9,4,1:00 PM,Penny Samuel,Penny_Samuel1904@vetan.org,Female,S2-3-18,Core,42,TRUE,TRUE
54,S3-8-54,German,Arizona State University,C_17,3,8:00 AM,Alexander Kaur,Alexander_Kaur5597@supunk.biz,Male,S1-9-718,Core,47,FALSE,TRUE
55,S2-7-55,Leadership,Arizona State University,C_9,2,3:00 PM,Josh Hunter,Josh_Hunter3615@deavo.com,Male,S2-6-441,Core,56,TRUE,TRUE
56,S3-8-56,Spanish,University of Texas at Austin,C_13,3,11:00 AM,Bob Gibson,Bob_Gibson4502@elnee.tech,Male,S2-6-863,Optional,36,FALSE,TRUE
57,S4-3-57,Language Arts,North Carolina State University,C_7,4,5:00 PM,Tom Jeffery,Tom_Jeffery1588@nanoff.biz,Male,S1-1-791,Core,15,FALSE,FALSE
58,S1-5-58,English IV,Georgetown University,C_8,1,5:00 PM,Nick Addison,Nick_Addison2469@qater.org,Male,S1-6-537,Interdisciplinary,20,TRUE,FALSE
59,S4-4-59,Health,Princeton University,C_8,4,9:00 AM,Joyce Benfield,Joyce_Benfield9896@bretoux.com,Female,S1-4-381,Core,53,TRUE,TRUE
60,S2-2-60,Spanish,Wayne State University,C_16,2,3:00 PM,Logan Phillips,Logan_Phillips4342@gompie.com,Male,S4-8-743,Interdisciplinary,51,FALSE,FALSE
61,S4-10-61,Physical Education,University of Michigan,C_7,4,4:00 PM,Faith Wren,Faith_Wren4057@tonsy.org,Female,S1-6-537,Core,24,FALSE,FALSE
62,S4-10-62,Economics,Massachusets Institute of Technology,C_5,4,8:00 AM,Domenic Gavin,Domenic_Gavin6955@deons.tech,Male,S4-8-846,Core,42,TRUE,FALSE
63,S3-1-63,Spanish,Tulane University,C_11,3,5:00 PM,David Farrow,David_Farrow3413@gmail.com,Male,S2-8-437,Core,12,TRUE,TRUE
64,S2-10-64,American Literature,Lehigh University,C_3,2,5:00 PM,Lexi Collins,Lexi_Collins5457@twipet.com,Female,S1-4-113,Optional,51,FALSE,TRUE
65,S1-7-65,Latin,Virginia Polytechnic Institute and State University,C_6,1,9:00 AM,Kate Sinclair,Kate_Sinclair7347@muall.tech,Female,S3-1-799,Interdisciplinary,57,FALSE,FALSE
66,S4-1-66,Spanish,The Ohio State University,C_10,4,5:00 PM,Bart Eddison,Bart_Eddison2620@liret.org,Male,S1-9-515,Core,27,TRUE,FALSE
67,S1-5-67,Geography,University of Rochester,C_4,1,3:00 PM,Fred Silva,Fred_Silva8130@eirey.tech,Male,S1-3-434,Core,24,TRUE,FALSE
68,S1-7-68,Handwriting,University of Oklahoma,C_12,1,11:00 AM,Matt Durrant,Matt_Durrant9423@irrepsy.com,Male,S1-6-514,Core,22,FALSE,FALSE
69,S2-6-69,Leadership,University of Minnesota,C_9,2,6:00 PM,Nick Addison,Nick_Addison2469@qater.org,Male,S4-3-907,Core,20,FALSE,TRUE
70,S1-3-70,Design and technology,The Ohio State University,C_11,1,11:00 AM,Chester Amstead,Chester_Amstead7277@brety.org,Male,S4-7-340,Core,13,TRUE,FALSE
71,S3-7-71,Spanish,University of Maryland,C_4,3,4:00 PM,Johnathan Hill,Johnathan_Hill9490@cispeto.com,Male,S3-10-991,Core,54,TRUE,TRUE
72,S1-1-72,Economics,Lehigh University,C_20,1,7:00 PM,Matt Bingham,Matt_Bingham5859@famism.biz,Male,S3-1-223,Optional,25,FALSE,FALSE
73,S2-6-73,Sociology,Howard University,C_11,2,3:00 PM,Hayden Mcleod,Hayden_Mcleod9108@cispeto.com,Male,S4-6-940,Core,44,FALSE,FALSE
74,S3-2-74,Physical Education,University of California,C_16,3,6:00 PM,Sebastian Buckley,Sebastian_Buckley3188@nimogy.biz,Male,S3-9-247,Optional,32,FALSE,TRUE
75,S4-8-75,Leadership,Arizona State University,C_7,4,5:00 PM,Daniel Veale,Daniel_Veale3180@ovock.tech,Male,S3-6-311,Core,24,FALSE,TRUE
76,S3-7-76,Resource Program,University of Florida,C_2,3,8:00 PM,Liam Gilmore,Liam_Gilmore9018@famism.biz,Male,S3-3-986,Core,50,TRUE,TRUE
77,S2-9-77,Basic Math,University of Minnesota,C_9,2,9:00 AM,Rose Mcneill,Rose_Mcneill5168@ovock.tech,Female,S4-10-275,Interdisciplinary,32,TRUE,FALSE
78,S4-8-78,Latin,California Institute of Technology (Caltech),C_14,4,9:00 AM,Quinn Stone ,Quinn_Stone 8494@nanoff.biz,Female,S4-2-967,Core,26,FALSE,TRUE
79,S1-4-79,Economics,Yale University,C_5,1,9:00 AM,Logan Edley,Logan_Edley7966@elnee.tech,Male,S4-2-545,Core,29,FALSE,FALSE
80,S1-1-80,German,University of Delaware,C_6,1,5:00 PM,Bart Needham,Bart_Needham1290@muall.tech,Male,S1-7-611,Core,14,FALSE,TRUE
81,S2-5-81,Ancient Civilizations,The Katz School at Yeshiva University,C_9,2,12:00 AM,Julian Kerr,Julian_Kerr4056@guentu.biz,Male,S1-1-193,Core,28,TRUE,FALSE
82,S2-2-82,Leadership,University of Miami,C_9,2,6:00 PM,Gwen Mould,Gwen_Mould1695@tonsy.org,Female,S4-10-352,Core,50,TRUE,FALSE
83,S1-4-83,Sociology,Texas A&M University,C_9,1,10:00 AM,Ramon Griffiths,Ramon_Griffiths7616@nanoff.biz,Male,S3-4-942,Core,32,TRUE,FALSE
84,S2-5-84,LOGIC,Howard University,C_20,2,10:00 AM,Regina Stevenson,Regina_Stevenson1956@twipet.com,Female,S4-9-777,Core,59,TRUE,FALSE
85,S3-2-85,Language Arts,University of Massachusetts Amherst,C_5,3,12:00 AM,Alessia Wigley,Alessia_Wigley3356@extex.org,Female,S1-3-393,Core,57,FALSE,FALSE
86,S2-9-86,Dramatics,The Ohio State University,C_1,2,9:00 AM,Julius Hall,Julius_Hall2064@joiniaa.com,Male,S1-10-186,Interdisciplinary,40,TRUE,TRUE
87,S4-2-87,Design and technology,University of Miami,C_5,4,5:00 PM,Daniel Downing,Daniel_Downing8388@infotech44.tech,Male,S2-6-484,Optional,25,FALSE,TRUE
88,S2-2-88,Health,University of Maryland,C_20,2,2:00 PM,Nicholas Neal,Nicholas_Neal8147@zorer.org,Male,S4-5-817,Optional,48,FALSE,FALSE
89,S4-8-89,Trigonometry,University of Miami,C_5,4,7:00 PM,Carla Ventura,Carla_Ventura3530@brety.org,Female,S2-2-82,Core,12,TRUE,FALSE
90,S4-6-90,French,Boston University,C_2,4,8:00 AM,Gabriel Squire,Gabriel_Squire459@hourpy.biz,Male,S3-9-231,Core,13,FALSE,TRUE
91,S2-4-91,Ecology,University of Virginia,C_2,2,8:00 PM,Eduardo Penn,Eduardo_Penn4703@qater.org,Male,S2-7-520,Core,12,TRUE,TRUE
92,S1-1-92,Geography,Howard University,C_16,1,6:00 PM,Ethan Gregory,Ethan_Gregory2517@ubusive.com,Male,S4-10-589,Core,49,FALSE,FALSE
93,S1-4-93,Modern Literature,University of California,C_14,1,3:00 PM,Moira Powell,Moira_Powell3911@zorer.org,Female,S2-5-622,Core,43,FALSE,TRUE
94,S3-7-94,German,Dartmouth College,C_9,3,2:00 PM,Wade Edmonds,Wade_Edmonds215@jiman.org,Male,S2-2-323,Core,21,FALSE,FALSE
95,S3-5-95,Design and technology,Georgetown University,C_14,3,3:00 PM,Gil Egerton,Gil_Egerton3329@naiker.biz,Male,S1-7-821,Interdisciplinary,52,TRUE,TRUE
96,S1-4-96,English IV,University of California,C_1,1,4:00 PM,Ron Tennant,Ron_Tennant6821@corti.com,Male,S3-9-599,Core,19,TRUE,TRUE
97,S2-7-97,German,University of Illinois,C_2,2,2:00 PM,Valentina Hopkinson,Valentina_Hopkinson9271@sheye.org,Female,S3-3-968,Core,13,TRUE,TRUE
98,S1-7-98,Physical Education,University of Notre Dame,C_20,1,9:00 AM,Ronald Potter,Ronald_Potter6576@womeona.net,Male,S4-5-893,Interdisciplinary,23,TRUE,FALSE
99,S2-7-99,Earth Science,The Katz School at Yeshiva University,C_3,2,1:00 PM,Samara Grant,Samara_Grant4589@elnee.tech,Female,S4-3-493,Core,22,TRUE,TRUE
100,S4-2-100,Music,Purdue University,C_17,4,5:00 PM,Bridget Noon,Bridget_Noon368@bretoux.com,Female,S3-4-30,Core,26,TRUE,TRUE
101,S4-7-101,Ancient Civilizations,University of California,C_4,4,7:00 PM,Helen Bright,Helen_Bright9392@infotech44.tech,Female,S2-8-240,Optional,38,TRUE,TRUE
102,S3-4-102,Handwriting,Northeastern University,C_9,3,11:00 AM,Harry Steer,Harry_Steer7722@yahoo.com,Male,S4-10-822,Core,51,FALSE,TRUE
103,S4-10-103,Science,University of Vermont,C_18,4,4:00 PM,Felicity Salt,Felicity_Salt9098@twace.org,Female,S3-8-401,Core,30,FALSE,FALSE
104,S3-7-104,Accounting,University of Texas Dallas,C_9,3,10:00 AM,Alessandra Lindsay,Alessandra_Lindsay7683@nanoff.biz,Female,S2-6-937,Core,31,FALSE,FALSE
105,S3-1-105,Basic Math,University of Southern California,C_9,3,6:00 PM,Mavis Stone,Mavis_Stone8903@extex.org,Female,S2-8-498,Core,13,TRUE,TRUE
106,S3-7-106,Leadership,University of Miami,C_4,3,1:00 PM,Abbey Tennant,Abbey_Tennant5766@dionrab.com,Female,S4-5-331,Core,13,FALSE,FALSE
107,S1-5-107,LOGIC,Iowa State University,C_12,1,10:00 AM,Nathan Ogilvy,Nathan_Ogilvy8009@atink.com,Male,S3-9-12,Core,37,FALSE,FALSE
108,S2-9-108,Mathematics,University of Oklahoma,C_10,2,7:00 PM,William Campbell,William_Campbell9852@elnee.tech,Male,S4-7-581,Interdisciplinary,30,FALSE,FALSE
109,S3-7-109,Spanish,George Washington University,C_11,3,5:00 PM,Shelby Camden,Shelby_Camden3529@bungar.biz,Female,S3-3-756,Core,24,TRUE,FALSE
110,S2-8-110,Trigonometry,Tulane University,C_1,2,4:00 PM,Nicholas Neal,Nicholas_Neal8147@zorer.org,Male,S3-9-247,Core,54,FALSE,TRUE
111,S4-2-111,Basic Math,North Carolina State University,C_12,4,1:00 PM,Rihanna Donovan,Rihanna_Donovan9881@extex.org,Female,S3-1-463,Core,48,TRUE,TRUE
112,S4-2-112,Geography,University of Kansas,C_9,4,8:00 PM,Martha Corbett,Martha_Corbett7021@twipet.com,Female,S1-2-426,Interdisciplinary,22,TRUE,TRUE
113,S1-4-113,American Literature,The Katz School at Yeshiva University,C_14,1,11:00 AM,Henry Bell,Henry_Bell4802@nimogy.biz,Male,S1-4-730,Core,25,FALSE,TRUE
114,S2-6-114,Resource Program,New York University,C_19,2,12:00 AM,Rosalyn Hobbs,Rosalyn_Hobbs1005@dionrab.com,Female,S3-3-913,Interdisciplinary,59,TRUE,FALSE
115,S2-4-115,Health,Case Western Reserve University,C_15,2,9:00 AM,Tara Roberts,Tara_Roberts1428@bauros.biz,Female,S2-4-450,Optional,51,FALSE,FALSE
116,S1-2-116,Resource Program,The Ohio State University,C_3,1,8:00 PM,Abbey Oldfield,Abbey_Oldfield2714@gompie.com,Female,S4-5-644,Core,39,TRUE,TRUE
117,S1-4-117,American Literature,University of California,C_4,1,12:00 AM,Sage Henderson,Sage_Henderson2529@twipet.com,Female,S2-7-591,Core,27,FALSE,FALSE
118,S3-6-118,Design and technology,Indiana University Bloomington,C_8,3,7:00 PM,Josh Cowan,Josh_Cowan1750@twace.org,Male,S2-7-667,Core,28,FALSE,FALSE
119,S3-1-119,Music,Massachusets Institute of Technology,C_20,3,1:00 PM,Harmony Eyres,Harmony_Eyres7421@twipet.com,Female,S2-7-900,Core,20,FALSE,TRUE
120,S3-2-120,American Literature,University of Colorado,C_14,3,11:00 AM,Elena Heaton,Elena_Heaton3513@guentu.biz,Female,S4-6-604,Core,23,TRUE,FALSE
121,S1-4-121,Health,Georgia Institute of Technology,C_18,1,1:00 PM,Paige Sherwood,Paige_Sherwood6571@sveldo.biz,Female,S1-5-156,Core,36,FALSE,FALSE
122,S4-7-122,Mathematics,Boston University,C_15,4,3:00 PM,Alexander Whittle,Alexander_Whittle9440@deavo.com,Male,S2-10-999,Core,55,TRUE,FALSE
123,S2-1-123,French,University of California,C_4,2,11:00 AM,Aileen Evans,Aileen_Evans2769@nanoff.biz,Female,S3-8-805,Core,22,FALSE,FALSE
124,S1-8-124,American Literature,Harvard University,C_18,1,6:00 PM,Rachael Anderson,Rachael_Anderson2796@bauros.biz,Female,S2-7-201,Core,17,FALSE,TRUE
125,S2-1-125,Trigonometry,Arizona State University,C_11,2,1:00 PM,Joy Gavin,Joy_Gavin53@typill.biz,Female,S2-9-448,Optional,31,FALSE,FALSE
126,S1-1-126,Leadership,University of Notre Dame,C_7,1,8:00 AM,Martin Morris,Martin_Morris5998@acrit.org,Male,S3-1-419,Core,15,TRUE,FALSE
127,S1-7-127,English IV,University of Delaware,C_9,1,8:00 AM,Carl Robinson,Carl_Robinson877@iatim.tech,Male,S3-1-709,Interdisciplinary,59,TRUE,TRUE
128,S1-3-128,Accounting,California Institute of Technology (Caltech),C_10,1,11:00 AM,Alan Griffiths,Alan_Griffiths6265@twipet.com,Male,S2-10-159,Core,18,TRUE,TRUE
129,S2-4-129,Instrumental Music,University of Kansas,C_16,2,7:00 PM,Camellia Styles,Camellia_Styles2614@grannar.com,Female,S2-10-314,Optional,44,FALSE,FALSE
130,S1-7-130,Art,Pennsylvania State University,C_13,1,8:00 PM,Cristal Waterhouse,Cristal_Waterhouse2168@ovock.tech,Female,S3-3-555,Core,12,TRUE,TRUE
131,S1-10-131,Latin,Drexel University,C_17,1,6:00 PM,Eryn Collingwood,Eryn_Collingwood7116@typill.biz,Female,S2-9-137,Core,24,TRUE,FALSE
132,S4-9-132,American Literature,University of Texas Dallas,C_17,4,11:00 AM,Marla Rosenbloom,Marla_Rosenbloom6483@sveldo.biz,Female,S1-10-373,Core,54,FALSE,FALSE
133,S4-2-133,Physical Education,Northeastern University,C_18,4,2:00 PM,Chadwick Newman,Chadwick_Newman321@sheye.org,Male,S1-1-193,Core,32,TRUE,FALSE
134,S4-5-134,German,University of California,C_17,4,10:00 AM,Joseph Higgs,Joseph_Higgs8069@muall.tech,Male,S4-10-980,Core,36,TRUE,TRUE
135,S2-5-135,Resource Program,University of New Mexico,C_17,2,2:00 PM,Anthony Morrow,Anthony_Morrow3391@cispeto.com,Male,S4-2-399,Core,44,FALSE,TRUE
136,S2-5-136,Economics,University of Southern California,C_8,2,7:00 PM,Carl Ashwell,Carl_Ashwell3754@yahoo.com,Male,S3-7-672,Core,52,TRUE,FALSE
137,S2-9-137,English IV,University of California,C_14,2,9:00 AM,Erin Lee,Erin_Lee8644@elnee.tech,Female,S1-1-990,Core,16,FALSE,FALSE
138,S4-6-138,Physical Education,The Katz School at Yeshiva University,C_2,4,7:00 PM,Rae Brown,Rae_Brown9771@iatim.tech,Female,S2-1-800,Core,44,TRUE,TRUE
139,S2-7-139,Grammar,University of Iowa,C_5,2,12:00 AM,William Wright,William_Wright4383@infotech44.tech,Male,S4-9-467,Optional,59,FALSE,FALSE
140,S2-1-140,Modern Literature,University of Miami,C_20,2,1:00 PM,Shelby Whatson,Shelby_Whatson1615@joiniaa.com,Female,S2-7-591,Core,36,FALSE,TRUE
141,S4-8-141,Dramatics,Washington University in St. Louis,C_4,4,1:00 PM,Daniel Ellis,Daniel_Ellis7974@liret.org,Male,S1-9-860,Core,43,TRUE,TRUE
142,S1-8-142,Grammar,Wake Forest University,C_13,1,8:00 AM,Mina Jennson,Mina_Jennson6085@ubusive.com,Female,S2-1-33,Optional,32,TRUE,TRUE
143,S1-6-143,Modern Literature,Howard University,C_9,1,3:00 PM,Jayden Jennson,Jayden_Jennson4176@kideod.biz,Male,S2-8-110,Core,41,FALSE,TRUE
144,S2-6-144,Physical Education,Drexel University,C_2,2,11:00 AM,Matthew Wade,Matthew_Wade7130@bauros.biz,Male,S4-7-332,Core,20,FALSE,TRUE
145,S3-4-145,Science,University of Maryland,C_10,3,3:00 PM,Noah Murphy,Noah_Murphy7397@nimogy.biz,Male,S3-4-565,Core,53,TRUE,TRUE
146,S3-7-146,Design and technology,Texas A&M University,C_6,3,7:00 PM,Louise Chester,Louise_Chester9799@supunk.biz,Female,S3-5-825,Optional,33,TRUE,FALSE
147,S1-5-147,Instrumental Music,University of Pittsburgh,C_7,1,8:00 PM,Bob Aldridge,Bob_Aldridge9526@corti.com,Male,S1-7-896,Core,21,FALSE,TRUE
148,S4-5-148,Ecology,Brown University,C_9,4,12:00 AM,Catherine Attwood,Catherine_Attwood5660@eirey.tech,Female,S4-2-545,Core,49,TRUE,TRUE
149,S4-10-149,Resource Program,Oregon State University,C_3,4,9:00 AM,Kurt Ventura,Kurt_Ventura3971@ubusive.com,Male,S1-7-747,Core,59,TRUE,TRUE
150,S2-5-150,Instrumental Music,University of Hawai,C_6,2,10:00 AM,Chris Weldon,Chris_Weldon5541@joiniaa.com,Male,S3-8-597,Core,48,FALSE,TRUE
151,S3-9-151,Art,Clark University,C_13,3,2:00 PM,Kieth Ianson,Kieth_Ianson9044@bretoux.com,Male,S4-1-216,Core,12,TRUE,FALSE
152,S1-8-152,Trigonometry,University of Oklahoma,C_2,1,2:00 PM,Tom Chadwick,Tom_Chadwick6655@deons.tech,Male,S3-1-105,Core,25,TRUE,FALSE
153,S1-8-153,Handwriting,University of New Mexico,C_3,1,5:00 PM,Elijah London,Elijah_London49@deons.tech,Male,S1-7-127,Core,38,FALSE,FALSE
154,S2-9-154,Speech,The University of Arizona,C_15,2,8:00 PM,Owen Warren,Owen_Warren8657@gembat.biz,Male,S2-4-444,Optional,43,TRUE,TRUE
155,S4-9-155,Sociology,The University of Arizona,C_4,4,7:00 PM,Jack Porter,Jack_Porter8582@acrit.org,Male,S2-1-625,Optional,32,TRUE,TRUE
156,S1-5-156,Grammar,Virginia Polytechnic Institute and State University,C_12,1,11:00 AM,Owen Ralph,Owen_Ralph4431@womeona.net,Male,S3-5-974,Core,29,TRUE,FALSE
157,S4-1-157,Dramatics,Brandeis University,C_6,4,10:00 AM,Celia Ingram,Celia_Ingram3661@deavo.com,Female,S4-8-970,Optional,33,FALSE,TRUE
158,S3-6-158,Leadership,University of California,C_1,3,11:00 AM,Nina Pierce,Nina_Pierce1155@naiker.biz,Female,S4-6-930,Core,21,TRUE,FALSE
159,S2-10-159,Art,University of Michigan,C_19,2,11:00 AM,Carla Bradley,Carla_Bradley7073@bretoux.com,Female,S4-10-994,Core,56,TRUE,TRUE
160,S2-6-160,English IV,Colorado State University,C_17,2,12:00 AM,Chuck Richards,Chuck_Richards5921@nanoff.biz,Male,S4-8-793,Core,18,FALSE,TRUE
